type,subtype,theme,authors,year,month,day,title,link,journal,location,event
Publications,Journal Article,Statistical Methods,"Galanter, N. , Carone, M., Kessler, R.C., Luedtke, A.",2024,,,Can the potential benefit of individualizing treatment be assessed using trial summary statistics alone?,https://doi.org/10.1093/aje/kwae040),American Journal of Epidemiology,,
Publications,Journal Article,Statistical Methods,"Wu, J., Galanter, N. , Shortreed, S. M., Moodie, E. E. M.",2022,,,Ranking tailoring variables for constructing individualized treatment rules: an application to schizophrenia,https://rss.onlinelibrary.wiley.com/doi/10.1111/rssc.12533,Journal of the Royal Statistical Society: Series C,,
Publications,Journal Article,Public Health and Medicine,"Pernikoff, S., Clurman, A., Rötepohl, M., Galanter, N., Bibby, M., Harris, E., Stevens-Ayers, T., Xie, H., Ueda Oshima, M, Cheng, G.S, Englund, J.A.,Boeckh, M.J., Boonyaratanakornkit, J.",2026,January,,Respiratory Syncytial Virus in Hematopoietic Cell Transplant Recipients: Clinical and Humoral Risk Factors for Infection,https://doi.org/10.1093/ofid/ofag005,Open Forum Infectious Diseases,,
Publications,Journal Article,Public Health and Medicine,"Bhardwaj, S., Galanter, N. , Berenbrok, L.A., Shah P.D, Bacci, J.L. ",2025,,,Pediatric vaccination in pharmacies is not associated with delayed well-child visits among commercially insured children,https://doi.org/10.1093/haschl/qxaf028,Health Affairs Scholar,,
Publications,Journal Article,Other,"Galanter, N., Silva, D., Jr., & Rowell, J., Rychtář, J. ",2017,,,Resource Competition Amid Overlapping Territories: The Territorial Raider Model Applied to Multi-Group Interactions,http://dx.doi.org/10.1016/j.jtbi.2016.10.007,Journal of Theoretical Biology,,
Publications,Journal Article,Other,"Galanter, N. , Silva, D., Jr., Rychtář, J., & Rowell, J.",2016,,,The Territorial Raider Game and Graph Derangements,http://dx.doi.org/10.1016/j.dam.2016.03.016,Discrete Applied Mathematics,,
Presentations and Posters,Presentations,,,2024,June,11,Inference for Optimal Treatment Rules under Stratum-wise Constraints for Discrete Rules,,,"Fort Collins, CO",WNAR Annual Meeting
Presentations and Posters,Presentations,,,2023,August,10,Inference for Optimal Treatment Rules under Stratum-wise Constraints for Discrete Rules,,,"Toronto, ON",Joint Statistics Meetings
Presentations and Posters,Presentations,,,2023,February,15,Inference for Optimal Treatment Rules under Stratum-wise Constraints for Discrete Rules,,,"Seattle, WA",University of Washington Biostatistics Student Seminar
Presentations and Posters,Presentations,,,2022,November,2,Variable Selection for Estimation of Interpretable Treatment Rules under Confounding,,,"Seattle, WA",University of Washington Biostatistics Student Seminar
Presentations and Posters,Presentations,,,2022,August,9,Can the potential benefit of individualizing treatment be assessed using trial summary statistics alone?,,,Washington DC,Joint Statistics Meetings
Presentations and Posters,Presentations,,,2022,February,2,Can the potential benefit of individualizing treatment be assessed using trial summary statistics alone?,,,"Seattle, WA",University of Washington Biostatistics Student Seminar
Presentations and Posters,Presentations,,,2018,January,27,Efficient Communication in Distributed Machine Learning,,,"Lincoln, NE",Nebraska Conf. for Undergraduate Women in Mathematics
Presentations and Posters,Presentations,,,2018,February,6,Efficient Communication in Distributed Machine Learning,,,"Grinnell, IA",Grinnell Mathematics and Statistics Student Seminars
Presentations and Posters,Presentations,,,2016,September,14,Machine Learning for the Classification of Toxicological Effects,,,"Grinnell, IA",Grinnell Mathematics and Statistics Student Seminars
Presentations and Posters,Presentations,,,2017,January,7,Machine Learning for the Classification of Toxicological Effects,,,"Atlanta, GA",Joint Mathematics Meetings
Presentations and Posters,Presentations,,,2015,October,6,"Machine Learning, Nash Equilibria, and Derangements: The Territorial Raider Game",,,"Grinnell, IA",Grinnell Mathematics and Statistics Student Seminars
Presentations and Posters,Presentations,,,2015,November,7,"Machine Learning, Nash Equilibria, and Derangements: The Territorial Raider Game",,,"Greensboro, NC",UNCG Regional Mathematics and Statistics Conference
Presentations and Posters,Presentations,,,2016,January,8,"Machine Learning, Nash Equilibria, and Derangements: The Territorial Raider Game",,,"Seattle, WA",Joint Mathematics Meetings
Presentations and Posters,Presentations,,,2016,January,31,"Machine Learning, Nash Equilibria, and Derangements: The Territorial Raider Game",,,"Lincoln, NE",Nebraska Conf. for Undergraduate Women in Mathematics
Presentations and Posters,Posters,,,2018,January,12,Efficient Communication in Distributed Machine Learning,,,"San Diego, CA",Joint Mathematics Meetings
Presentations and Posters,Posters,,,2015,October,9,The Territorial Raider Model with Strategic Movement and Multi-Group Interactions,,,"Normal, IL",Intl. Symposium on Biomath. and Ecology Edu. and Research
Presentations and Posters,Posters,,,2016,January,8,The Territorial Raider Model with Strategic Movement and Multi-Group Interactions,,,"Seattle, WA",Joint Mathematics Meetings